DepressionID	Ac	Am	Nds	Ndsds	Nus	Nuscd	OutletID	Sdus	Shrn	Strn	USAc	USVm	Vm	p0.001	p0.01	p0.02	p0.03	p0.04	p0.05	p0.06	p0.07	p0.08	p0.09	p0.1	p0.11	p0.12	p0.13	p0.14	p0.15	p0.16	p0.17	p0.18	p0.19	p0.2	p0.21	p0.22	p0.23	p0.24	p0.25	p0.26	p0.27	p0.28	p0.29	p0.3	p0.31	p0.32	p0.33	p0.34	p0.35	p0.36	p0.37	p0.38	p0.39	p0.4	p0.41	p0.42	p0.43	p0.44	p0.45	p0.46	p0.47	p0.48	p0.49	p0.5	p0.51	p0.52	p0.53	p0.54	p0.55	p0.56	p0.57	p0.58	p0.59
30209	14517	2898	1	5	0	0	[117000]	0.0	1	1	0.0	0.0	351.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30211	6246	2511	1	6	0	0	[117000]	0.0	1	1	0.0	0.0	411.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30212	84060	18837	1	5	3	14	[117000]	0.72903603196	7	2	784908.0	57463.02	1629.9	0.0	95139.0	95139.0	95139.0	95139.0	95139.0	95139.0	301599.0	420912.0	420912.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0	784908.0
30217	13347	2511	1	12	0	0	[117000]	0.0	1	1	0.0	0.0	342.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
117041	59418	6435	1	2	1	1	[117000]	0.00486423584174	1	1	34803.0	169.29	628.74	0.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0	34803.0
117262	108378	41760	1	3	1	1	[117000]	0.0956361750168	1	1	294966.0	28209.42	16226.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0	294966.0
30381	144117	16362	1	11	0	0	[117000]	0.0	1	1	0.0	0.0	4250.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30225	60210	11637	1	5	2	3	[117000]	0.141348277496	2	2	145089.0	9063.72	1039.77	0.0	79326.0	79326.0	79326.0	79326.0	79326.0	79326.0	79326.0	79326.0	79326.0	79326.0	79326.0	79326.0	79326.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0	145089.0
30231	153954	7713	1	4	3	21	[117000]	0.944086523212	10	2	1127160.0	70157.16	446.67	0.0	139536.0	371628.0	371628.0	371628.0	371628.0	371628.0	578088.0	697401.0	697401.0	1061397.0	1061397.0	1061397.0	1061397.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0	1127160.0
30232	45999	2061	1	6	1	1	[117000]	0.00538212260329	1	1	33327.0	179.37	133.11	0.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0	33327.0
30238	19530	3987	1	5	1	1	[117000]	0.0171540329107	1	1	33363.0	572.31	388.44	0.0	0.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0	33363.0
30531	134352	16308	1	16	0	0	[117000]	0.0	1	1	0.0	0.0	3446.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30241	33327	1719	1	7	0	0	[117000]	0.0	1	1	0.0	0.0	179.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
166435	1432593	563292	1	2	11	215	[117000]	11.6255470952	164	3	23358132.0	3103808.67	193919.67	157671.0	475335.0	592272.0	1421064.0	1675476.0	1813473.0	1829493.0	2035953.0	9307512.0	9442791.0	10350036.0	12350961.0	12432276.0	12675951.0	12741714.0	18539847.0	18561294.0	18561294.0	18561294.0	18561294.0	19575261.0	19575261.0	19575261.0	20122371.0	20122371.0	20122371.0	20122371.0	20122371.0	20122371.0	20122371.0	23088852.0	23206086.0	23206086.0	23206086.0	23206086.0	23206086.0	23206086.0	23206086.0	23206086.0	23206086.0	23206086.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0	23358132.0
